"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B01DXYMBU6","X001VZSIFF","VIVOSUN Filtro A Carbone Attivo 100mm 4 Pulgadas Control De Olores con Carbón Australiano para Extractor Ventilación Grow Tent Cultivo Interior Invernadero con Prefiltro","'PSR2'","IT","34.29","19.7","19.2","centimeters","2.71","kilograms","0.013","cubic meters","Standard-Size","1.0","0.0","0.013","2026-04","14.4","weeks","27.54","0.0","1.0","0.013","0.3571","0.0","EUR","0.3571","Others","N","N","0.0","--","0.0"
"B08M3G5TH3","X001VZST45","VIVOSUN Filtro A Carbone Attivo 100mm 4 Pulgadas Control De Olores con Carbón Australiano para Extractor Ventilación Grow Tent Cultivo Interior Invernadero con Prefiltro","'PSR2'","IT","34.6","20.5","19.3","centimeters","2.68","kilograms","0.0137","cubic meters","Standard-Size","5.0","0.0","0.0684","2026-04","14.4","weeks","27.54","0.0","5.0","0.0684","1.8847","0.0","EUR","1.8847","Others","N","N","0.0","--","0.0"
"B01EWH83FU","X001W1EEP1","VIVOSUN Confezione 1 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Arancioni","'PSR2'","IT","21.5","7.1","1.3","centimeters","0.07","kilograms","2.0E-4","cubic meters","Standard-Size","118.0","0.0","0.0234","2026-04","14.4","weeks","27.54","0.0","118.0","0.0234","0.6448","0.0","EUR","0.6448","Others","N","N","0.0","--","0.0"
"B06Y1XVD1P","X001W1HJ2B","VIVOSUN Confezione 1 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Blu","'PSR2'","IT","21.6","7.0","1.5","centimeters","0.07","kilograms","2.0E-4","cubic meters","Standard-Size","493.0","0.0","0.1118","2026-04","14.4","weeks","27.54","0.0","493.0","0.1118","3.0787","0.0","EUR","3.0787","Others","N","N","0.0","--","0.0"
"B0C2436JDR","X001WTEUMP","VIVOSUN 2 Paia di Ganci Regolabili da 0,3 cm, Resistenti Ganci in Corda con Ingranaggi in Metallo Rinforzato, Corda Lunga 2,4 m e capacità di Peso di 68 kg per Grow Light, Ventola in Linea, Filtri","'PSR2'","IT","15.1","14.6","4.2","centimeters","0.3","kilograms","9.0E-4","cubic meters","Standard-Size","56.0","0.0","0.0519","2026-04","14.4","weeks","27.54","0.0","56.0","0.0519","1.4277","0.0","EUR","1.4277","Others","N","N","0.0","--","0.0"
"B0B96R2RC3","X001YZWCAT","VIVOSUN Kit Irrigazione a Goccia Automatica, Potenza di Uscita 15W, Kit di Coltivazione Tutto in Uno —Pompa, Timer e Regolatore, Sistema di Riego per Piante da Giardino con 8 Emetitori a Goccia","'PSR2'","IT","18.7","16.5","16.2","centimeters","1.17","kilograms","0.005","cubic meters","Standard-Size","8.0","0.0","0.04","2026-04","14.4","weeks","27.54","0.0","8.0","0.04","1.101","0.0","EUR","1.101","Others","N","N","0.0","--","0.0"
"B0BXD9RK42","X001Z5PQDD","VIVOSUN Kit di Irrigazione a Goccia Automatica Solare con Timer, Uscita 3 W, Sistema di Irrigazione a Goccia Automatico Alimentato a Energia Solare, Sistema di Irrigazione per Piante da Giardino","'PSR2'","IT","31.1","21.2","7.1","centimeters","0.93","kilograms","0.0047","cubic meters","Standard-Size","16.0","0.0","0.0749","2026-04","14.4","weeks","27.54","0.0","16.0","0.0749","2.0623","0.0","EUR","2.0623","Others","N","N","0.0","--","0.0"
"B0BXP3XLLR","X0020HG1EN","VIVOSUN AeroLab THB1S Wireless Bluetooth igrometro termometro da interno, VPD, misuratore digitale di umidità della temperatura, controllo e allarme Smart App LCD, archiviazione dati, doppio canale","'PSR2'","IT","14.5","12.6","2.8","centimeters","0.23","kilograms","5.0E-4","cubic meters","Standard-Size","1.0","0.0","5.0E-4","2026-04","14.4","weeks","27.54","0.0","1.0","5.0E-4","0.0141","0.0","EUR","0.0141","Others","N","N","0.0","--","0.0"
"B087CPSL1H","X0021P8V2T","VIVOSUN Confezione da 2 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Arancioni","'PSR2'","IT","23.8","9.4","1.6","centimeters","0.14","kilograms","4.0E-4","cubic meters","Standard-Size","60.0","0.0","0.0215","2026-04","14.4","weeks","27.54","0.0","60.0","0.0215","0.5914","0.0","EUR","0.5914","Others","N","N","0.0","--","0.0"
"B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4, fotocamera intelligente WiFi 2K QHD per Grow Tent e VGrow Smart Grow Box, supporta WiFi a 2,4 GHz (non 5 GHz/6 GHz), timelapse, visione notturna, archiviazione scheda SD, audio a 2","'PSR2'","IT","10.6","9.4","6.2","centimeters","0.28","kilograms","6.0E-4","cubic meters","Standard-Size","15.0","0.0","0.0093","2026-04","14.4","weeks","27.54","0.0","15.0","0.0093","0.2551","0.0","EUR","0.2551","Others","N","N","0.0","--","0.0"
"B07RBL1XJV","X002F0MTB9","VIVOSUN 2-Pack Indoor Hydroponics LED Grow Room Occhiali con Custodia per Occhiali","'PSR2'","IT","18.1","17.5","6.5","centimeters","0.24","kilograms","0.0021","cubic meters","Standard-Size","1.0","0.0","0.0021","2026-04","14.4","weeks","27.54","0.0","1.0","0.0021","0.0567","0.0","EUR","0.0567","Others","N","N","0.0","--","0.0"
"B0BQF728P7","X001VEMT83","VIVOSUN AeroZesh T4 Ventola Aspirazione 100mm Ventilatore da Condotto Estrazione 357 m³/h con Regolatore di Velocità E12 Controllo PWM, Programmabile per Tende di Coltivazione e Ventilazione Indoor","'TRN1'","IT","58.0","36.0","23.0","centimeters","2.19","kilograms","0.048","cubic meters","Oversize","9.0","0.0","0.4322","2026-04","20.5","weeks","21.78","0.0","9.0","0.4322","9.41","0.0","EUR","9.41","Others","N","N","0.0","--","0.0"
"B08M3G5TH3","X001VZST45","VIVOSUN Filtro A Carbone Attivo 100mm 4 Pulgadas Control De Olores con Carbón Australiano para Extractor Ventilación Grow Tent Cultivo Interior Invernadero con Prefiltro","'TRN1'","IT","34.6","20.5","19.3","centimeters","2.68","kilograms","0.0137","cubic meters","Standard-Size","2.0","0.0","0.0274","2026-04","14.4","weeks","27.54","0.0","2.0","0.0274","0.754","0.0","EUR","0.754","Others","N","N","0.0","--","0.0"
"B01EWH83FU","X001W1EEP1","VIVOSUN Confezione 1 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Arancioni","'TRN1'","IT","21.5","7.1","1.3","centimeters","0.07","kilograms","2.0E-4","cubic meters","Standard-Size","118.0","0.0","0.0234","2026-04","14.4","weeks","27.54","0.0","118.0","0.0234","0.6448","0.0","EUR","0.6448","Others","N","N","0.0","--","0.0"
"B0C2C8NP5D","X001YZNSF7","VIVOSUN Ventilatore da Condotto AeroZesh S6 150 mm 688 m³/h Estrazione con Regolatore velocità E12 PWM Programmabile per Tende Coltivazione e Sistemi Ventilazione","'TRN1'","IT","35.6","28.1","25.7","centimeters","2.75","kilograms","0.0257","cubic meters","Standard-Size","13.0","0.0","0.3342","2026-04","14.4","weeks","27.54","0.0","13.0","0.3342","9.2036","0.0","EUR","9.2036","Others","N","N","0.0","--","0.0"
"B0BXD9RK42","X001Z5PQDD","VIVOSUN Kit di Irrigazione a Goccia Automatica Solare con Timer, Uscita 3 W, Sistema di Irrigazione a Goccia Automatico Alimentato a Energia Solare, Sistema di Irrigazione per Piante da Giardino","'TRN1'","IT","31.1","21.2","7.1","centimeters","0.93","kilograms","0.0047","cubic meters","Standard-Size","16.0","0.0","0.0749","2026-04","14.4","weeks","27.54","0.0","16.0","0.0749","2.0625","0.0","EUR","2.0625","Others","N","N","0.0","--","0.0"
"B0BXP3XLLR","X0020HG1EN","VIVOSUN AeroLab THB1S Wireless Bluetooth igrometro termometro da interno, VPD, misuratore digitale di umidità della temperatura, controllo e allarme Smart App LCD, archiviazione dati, doppio canale","'TRN1'","IT","14.5","12.6","2.8","centimeters","0.23","kilograms","5.0E-4","cubic meters","Standard-Size","38.0","0.0","0.0194","2026-04","14.4","weeks","27.54","0.0","38.0","0.0194","0.5353","0.0","EUR","0.5353","Others","N","N","0.0","--","0.0"
"B088GVCMZH","X00220G4QX","VIVOSUN Confezione da 3 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Blu","'TRN1'","IT","22.5","8.5","4.5","centimeters","0.21","kilograms","9.0E-4","cubic meters","Standard-Size","44.0","0.0","0.0379","2026-04","14.4","weeks","27.54","0.0","44.0","0.0379","1.0428","0.0","EUR","1.0428","Others","N","N","0.0","--","0.0"
"B010UCCR3A","X0023T6QNT","VIVOSUN Condotto flessibile in alluminio per condotti di ventilazione con 2 morsetti in acciaio inox da 20,3 cm, kit di sfiato per tubo flessibile per asciugatrice multistrato lungo e resistente,","'TRN1'","IT","32.8","22.2","21.8","centimeters","1.38","kilograms","0.0159","cubic meters","Standard-Size","1.0","0.0","0.0159","2026-04","14.4","weeks","27.54","0.0","1.0","0.0159","0.4371","0.0","EUR","0.4371","Others","N","N","0.0","--","0.0"
"B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4, fotocamera intelligente WiFi 2K QHD per Grow Tent e VGrow Smart Grow Box, supporta WiFi a 2,4 GHz (non 5 GHz/6 GHz), timelapse, visione notturna, archiviazione scheda SD, audio a 2","'TRN1'","IT","10.6","9.4","6.2","centimeters","0.28","kilograms","6.0E-4","cubic meters","Standard-Size","22.0","0.0","0.0136","2026-04","14.4","weeks","27.54","0.0","22.0","0.0136","0.3743","0.0","EUR","0.3743","Others","N","N","0.0","--","0.0"
"B0C6QKDG53","X002CUEYA1","VIVOSUN Ventilatore da Condotto 150mm Estrazione 660m³/h Motore EC GrowHub E42A+ Controller WiFi AeroZesh G6 Ventilatore Growbox per Riscaldamento Raffreddamento Booster Tende Coltivazione Idroponica","'TRN1'","IT","33.5","26.5","23.0","centimeters","3.65","kilograms","0.0204","cubic meters","Standard-Size","3.0","0.0","0.0613","2026-04","14.4","weeks","27.54","0.0","3.0","0.0613","1.6868","0.0","EUR","1.6868","Others","N","N","0.0","--","0.0"
"B0FHZV3WNM","X002CXIWAB","VIVOSUN AeroFlux Riscaldatore per Tende da Coltivazione Intelligenti 700 W, Riscaldamento PTC con Termostato, Monitoraggio VPD, Controllo app, Protezione Contro il Surriscaldamento e Tubo di prolunga","'TRN1'","IT","33.0","31.1","19.4","centimeters","3.19","kilograms","0.0199","cubic meters","Standard-Size","1.0","0.0","0.0199","2026-04","14.4","weeks","27.54","0.0","1.0","0.0199","0.5483","0.0","EUR","0.5483","Others","N","N","0.0","--","0.0"
"B07RBL1XJV","X002F0MTB9","VIVOSUN 2-Pack Indoor Hydroponics LED Grow Room Occhiali con Custodia per Occhiali","'TRN1'","IT","18.1","17.5","6.5","centimeters","0.24","kilograms","0.0021","cubic meters","Standard-Size","15.0","0.0","0.0309","2026-04","14.4","weeks","27.54","0.0","15.0","0.0309","0.8504","0.0","EUR","0.8504","Others","N","N","0.0","--","0.0"
"B0BYRBRX9V","X001VJI559","VIVOSUN Kit per la Coltivazione di Tende ad alta CFM, Gamma di pali verdi da 24""-48"", Adatto per Tende da Coltivazione da 2'x2', 3'x3', 4'x2' e 4'x4', Confezione da 4 pz.","'XMP4'","IT","74.6","11.9","8.0","centimeters","1.34","kilograms","0.0071","cubic meters","Oversize","122.0","0.0","0.8664","2026-04","20.5","weeks","21.78","0.0","122.0","0.8664","18.8708","0.0","EUR","18.8708","Others","N","N","0.0","--","0.0"
"B01DXYMHWS","X001VZO7S7","VIVOSUN Filtro A Carbone Attivo 200mm 8 Pulgadas Control De Olores con Carbón Australiano para Extractor Ventilación Grow Tent Cultivo Interior Invernadero con Prefiltro","'XMP4'","IT","54.4","30.3","29.8","centimeters","7.58","kilograms","0.0491","cubic meters","Oversize","61.0","0.0","2.9963","2026-04","20.5","weeks","21.78","0.0","61.0","2.9963","65.2594","0.0","EUR","65.2594","Others","N","N","0.0","--","0.0"
"B0CBPGTTYW","X001YZRB9B","VIVOSUN Kit di Estrazione Ventilatore da Condotto 150mm 693m³/h con Regolatore di velocità E12 Filtro a Carbone e Condotto 240cm AeroZesh T6 per Tende di Coltivazione e Growbox","'XMP4'","IT","93.45","28.45","25.37","centimeters","9.14","kilograms","0.0675","cubic meters","Oversize","5.0","0.0","0.3373","2026-04","20.5","weeks","21.78","0.0","5.0","0.3373","7.3458","0.0","EUR","7.3458","Others","N","N","0.0","--","0.0"
"B08JG8F18N","X0020AEZ6V","VIVOSUN VS1000 2 Confezione Luce di Crescita a LED con diodi Samsung LM301 e driver Sosen Luci dimmerabili a spettro completo simile al sole per tende 2x2/3x3","'XMP4'","IT","35.2","35.0","17.8","centimeters","5.19","kilograms","0.0219","cubic meters","Oversize","24.0","0.0","0.5263","2026-04","20.5","weeks","21.78","0.0","24.0","0.5263","11.463","0.0","EUR","11.463","Others","N","N","0.0","--","0.0"
"B0CGHKN4TV","X0021L2AV1","VIVOSUN P426 48""×24""×72"" PRO Grow Tent, con pali spessi da 1 pollice, tessuto Mylar Oxford ad alta riflessione rinforzato, barre di sospensione extra e kit ad alta CFM per AeroLight A200SE","'XMP4'","IT","100.0","33.02","15.24","centimeters","14.0","kilograms","0.0503","cubic meters","Oversize","25.0","0.0","1.2581","2026-04","20.5","weeks","21.78","0.0","25.0","1.2581","27.4004","0.0","EUR","27.4004","Others","N","N","0.0","--","0.0"
"B08346W5S6","X0023SUF0Z","VIVOSUN Bidone rotante doppio del compost del batch del compostatore di rotolamento all'aperto, porta nera da 43 galloni","'XMP4'","IT","57.0","57.0","23.0","centimeters","11.68","kilograms","0.0747","cubic meters","Oversize","10.0","0.0","0.7473","2026-04","20.5","weeks","21.78","0.0","10.0","0.7473","16.2755","0.0","EUR","16.2755","Others","N","N","0.0","--","0.0"
"B0CBRRD7SP","X002CUE6PJ","VIVOSUN Kit di Estrazione Ventilatore da Condotto 200mm AeroZesh G8 GrowHub E42A+ Controllo VPD Temperatura umidità WiFi, Filtro a Carbone Attivo e Condotto per Tende Coltivazione Idroponica","'XMP4'","IT","70.2","56.2","32.8","centimeters","16.22","kilograms","0.1294","cubic meters","Oversize","10.0","0.0","1.294","2026-04","20.5","weeks","21.78","0.0","10.0","1.294","28.184","0.0","EUR","28.184","Others","N","N","0.0","--","0.0"
"B0CBRPS1N8","X002CUF3G5","VIVOSUN Kit di Estrazione Ventilatore da Condotto 150mm AeroZesh G6 GrowHub E42A+ Controllo VPD Temperatura Umidità WiFi, Filtro a Carbone Attivo e Condotto per Tende Coltivazione Idroponica","'XMP4'","IT","93.0","27.0","26.0","centimeters","10.06","kilograms","0.0653","cubic meters","Oversize","11.0","0.0","0.7181","2026-04","20.5","weeks","21.78","0.0","11.0","0.7181","15.6411","0.0","EUR","15.6411","Others","N","N","0.0","--","0.0"
"B07QTHF3QK","X001VKKBMN","VIVOSUN Pulverizador a Presión Rociador De Bomba Manual De 1,5L con Boquilla De Latón Ajustable, para Riego, Cuidado De Plantas, Flores, Control De Malezas Y Tareas De Limpieza, Verde","'BCN1'","ES","34.1","16.5","15.2","centimeters","0.48","kilograms","0.0086","cubic meters","Standard-Size","0.03","0.0","3.0E-4","2026-04","14.4","weeks","27.54","0.0","0.03","3.0E-4","0.0079","0.0","EUR","0.0079","Others","N","N","0.0","--","0.0"
"B01DXYMBU6","X001VZSIFF","VIVOSUN Filtro de Carbón Activo 100mm | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladores en Línea y Cultivo Interior","'BCN1'","ES","34.29","19.7","19.2","centimeters","2.71","kilograms","0.013","cubic meters","Standard-Size","1.0","0.0","0.013","2026-04","14.4","weeks","27.54","0.0","1.0","0.013","0.3577","0.0","EUR","0.3577","Others","N","N","0.0","--","0.0"
"B08M3G5TH3","X001VZST45","VIVOSUN Filtro de Carbón Activo 100mm Negro | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladores en Línea y Cultivo Interior","'BCN1'","ES","34.6","20.5","19.3","centimeters","2.68","kilograms","0.0137","cubic meters","Standard-Size","1.1","0.0","0.0151","2026-04","14.4","weeks","27.54","0.0","1.1","0.0151","0.4153","0.0","EUR","0.4153","Others","N","N","0.0","--","0.0"
"B0BMV1W52R","X001WOUTQV","VIVOSUN Ventilador de Conducto AeroZesh T6 150mm 660 m³/h Ventilador de Extracción con Regulador de Velocidad E12, Control PWM, Programable para Tiendas de Cultivo y Ventilación Interior","'BCN1'","ES","33.0","26.0","25.0","centimeters","2.75","kilograms","0.0214","cubic meters","Standard-Size","1.83","0.0","0.0379","2026-04","14.4","weeks","27.54","0.0","1.77","0.0379","1.045","0.0","EUR","1.045","Others","N","N","0.0","--","0.07"
"B07VK1LVN6","X0021OYVTR","VIVOSUN Paquete de 2 lupas Plegables iluminadas de 30X 60X con luz LED para Joyas, Gemas, Relojes, Monedas, Sellos, Antiguos, Color Negro","'BCN1'","ES","9.3","8.0","6.4","centimeters","0.17","kilograms","5.0E-4","cubic meters","Standard-Size","0.47","0.0","2.0E-4","2026-04","14.4","weeks","27.54","0.0","0.4","2.0E-4","0.0053","0.0","EUR","0.0053","Others","N","N","0.0","--","0.07"
"B0C6QK97P2","X002CUEXZ7","VIVOSUN Ventilador de Conducto 100mm AeroZesh T4 Extracción 357m³/h, Ventilador PWM Cámara Cultivo con Controlador GrowHub E42A+, Conexión APP Funcionamiento Silencioso Tiendas Cultivo e Invernaderos","'BCN1'","ES","32.29","24.6","19.8","centimeters","2.85","kilograms","0.0157","cubic meters","Standard-Size","2.83","0.0","0.0446","2026-04","14.4","weeks","27.54","0.0","2.83","0.0446","1.2289","0.0","EUR","1.2289","Others","N","N","0.0","--","0.0"
"B07QTHF9ZT","X001VKGPG9","VIVOSUN Pulverizador a Presión Rociador De Bomba Manual De 0,8l con Boquilla De Latón Ajustable, para Riego, Cuidado De Plantas, Flores, Control De Malezas Y Tareas De Limpieza, Verde","'BCN4'","ES","31.3","15.7","14.7","centimeters","0.39","kilograms","0.0072","cubic meters","Standard-Size","0.2","0.0","0.0014","2026-04","14.4","weeks","27.54","0.0","0.2","0.0014","0.0398","0.0","EUR","0.0398","Others","N","N","0.0","--","0.0"
"B00VWU35F4","X001VKJMC3","VIVOSUN Bolsa de Cultivo 5 Unidades 115 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","'BCN4'","ES","41.5","34.7","9.6","centimeters","1.89","kilograms","0.0138","cubic meters","Oversize","0.13","0.0","0.0018","2026-04","20.5","weeks","21.78","0.0","0.13","0.0018","0.04","0.0","EUR","0.04","Others","N","N","0.0","--","0.0"
"B07Y81DTTJ","X001VKL6RR","VIVOSUN Pulverizador a Presión Manual de 4 litros con Válvula de Seguridad, 3 Boquillas y Manguera de 127 cm, para Cuidado Profesional de Jardín, Césped, Plantas y Control de Malezas","'BCN4'","ES","40.9","18.8","18.7","centimeters","1.17","kilograms","0.0144","cubic meters","Standard-Size","1.5","0.0","0.0211","2026-04","14.4","weeks","27.54","0.0","1.47","0.0211","0.5806","0.0","EUR","0.5806","Others","N","N","0.0","--","0.03"
"B01DXYMBU6","X001VZSIFF","VIVOSUN Filtro de Carbón Activo 100mm | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladores en Línea y Cultivo Interior","'BCN4'","ES","34.29","19.7","19.2","centimeters","2.71","kilograms","0.013","cubic meters","Standard-Size","0.9","0.0","0.0117","2026-04","14.4","weeks","27.54","0.0","0.9","0.0117","0.3214","0.0","EUR","0.3214","Others","N","N","0.0","--","0.0"
"B08M3G5TH3","X001VZST45","VIVOSUN Filtro de Carbón Activo 100mm Negro | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladores en Línea y Cultivo Interior","'BCN4'","ES","34.6","20.5","19.3","centimeters","2.68","kilograms","0.0137","cubic meters","Standard-Size","18.13","0.0","0.24","2026-04","14.4","weeks","27.54","0.0","17.53","0.24","6.6083","0.0","EUR","6.6083","Others","N","N","0.0","--","0.6"
"B01EWH83FU","X001W1EEP1","VIVOSUN Tijeras de Jardín 17cm Tijeras de Plantas con Mangos Ergonomicos Tijeras de Poda con Cuchillas Rectas y Revestimiento Antiadherente Titanio Tijeras para Rosas Naranja, 1 Paquete","'BCN4'","ES","21.5","7.1","1.3","centimeters","0.07","kilograms","2.0E-4","cubic meters","Standard-Size","1.17","0.0","2.0E-4","2026-04","14.4","weeks","27.54","0.0","1.07","2.0E-4","0.0058","0.0","EUR","0.0058","Others","N","N","0.0","--","0.1"
"B0CMYX2H9Q","X0023L9EWR","VIVOSUN Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable, Color Negro","'BCN4'","ES","14.1","12.7","7.01","centimeters","0.29","kilograms","0.0013","cubic meters","Standard-Size","56.33","0.0","0.0705","2026-04","14.4","weeks","27.54","0.0","56.17","0.0705","1.9409","0.0","EUR","1.9409","Others","N","N","0.0","--","0.17"
