"Inkluderar transaktioner på Amazons marknadsplats, Fraktas från Amazon (FBA) och Amazons webbutik"
"Alla belopp i kr, om inte annat anges"
"Definitioner:"
"datum/tid: bokfört datum/tid för transaktionen"
"Inkasserad moms: Inkluderar moms som kasserats in från köpare för produktförsäljning, frakt och presentinslagning."
"Försäljningsavgifter: Inkluderar rörliga avstängningsavgifter och hänvisningsavgifter."
"Övriga transaktionsavgifter: Inkluderar återdebitering av frakt, stoppad frakt, fraktstopp, avgifter per artikel och inkassering av moms."
"Övrigt: Inkluderar belopp för annat än beställningar. Mer information finns i kolumnerna ”Typ” och ”Beskrivning” för varje beställnings-ID."
"Obs! Rapporter med startdatum 1 januari 2025 eller senare indexeras efter bokföringsdatum, inkluderar både släppta och uppskjutna transaktioner och har två nya kolumner. Du kan behöva uppdatera integreringar eller mappningar från tredje part."
"datum/tid","reglerings-id","typ","beställnings-id","sku","beskrivning","antal","marknadsplats","leverans","stad för beställning","delstat för beställning","postadress för beställning","försäljning av produkter","fraktkrediter","krediter för presentinslagning","kampanjrabatter","Inkasserad moms","Skatt för marknadsplatsförmedlare","försäljningsavgifter","fba-avgifter","övriga transaktionsavgifter","Övrigt","totalt","Transaktionsstatus","Transaktionens utgivningsdatum"
"4 apr. 2026 00:57:10 UTC","26863201812","Order","404-5985989-7728351","GH-E25-EU-FBM","VIVOSUN GrowHub E25 svart WiFi-drivrutin för växttält belysning och ventilation, stöd för SGS-enheter, Plug and Play, expansion till GrowHub E42/","1","amazon.se","Säljare","GÖTEBORG","","","235,34","0","0","0","58,84","−58,84","−44,13","0","0","0","191,21","Släpps","17 apr. 2026 22:37:02 UTC"
"4 apr. 2026 00:57:12 UTC","26863201812","Order","404-0151989-2386701","VSGB-10-EU-M","VIVOSUN 5-pack 40 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","1","amazon.se","Säljare","Finspång","Östergötland","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Släpps","20 apr. 2026 21:45:35 UTC"
"4 apr. 2026 06:52:42 UTC","27033698842","Order","171-4712620-3655547","311003-4X2NJ-EU","VIVOSUN 2-pack 15 cm trädgårdssaxar handbeskärningssax med raka blad i rostfritt stål orange","1","amazon.se","Amazon","FURUDAL","","","122,43","0","0","0","30,61","−30,61","−19,90","−31,56","0","0","70,97","Släpps","19 maj 2026 07:05:30 UTC"
"6 apr. 2026 00:57:16 UTC","26863201812","Order","405-3961585-0163522","330701-01-EU-FBM","VIVOSUN trädgårdsnät 1,5 m x 4,6 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","2","amazon.se","Säljare","Ljungbyhed","","","156,78","0","0","0","39,20","−39,20","−29,40","0","0","0","127,38","Släpps","20 apr. 2026 22:30:51 UTC"
"6 apr. 2026 00:57:21 UTC","26777484392","Order","404-0356540-2053924","VSGB-10-EU-M","VIVOSUN 5-pack 40 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","1","amazon.se","Säljare","Anderslöv","Sweden","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Uppskjuten",
"7 apr. 2026 01:27:09 UTC","26777484392","Order","403-6389511-4932320","VSL-LL100-EU-FBM","VIVOSUN 100W LED Odlingslampa för Växter, Fullspektrum Lumalight med Hög PPFD och Dimmfunktion, Smart Växtbelysning för Krukväxter, Odlings­tä","1","amazon.se","Säljare","NORSBORG","","","959,07","0","0","0","239,77","−239,77","−179,83","0","0","0","779,24","Uppskjuten",
"7 apr. 2026 01:27:17 UTC","26947924442","Order","408-4055266-6960367","311001-20x5-EU-M","VIVOSUN planteringsväskor, icke-vävt tyg, svart, 20 gallon","1","amazon.se","Säljare","BORÅS","","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Släpps","7 maj 2026 01:23:35 UTC"
"7 apr. 2026 01:36:34 UTC","26863201812","Order","408-2926001-4929145","VSF-AWD4x2-EU-FBM","VIVOSUN AeroWave D4 oscillerande klämfläktar 10 cm för odling set med 2, 3 hastigheter, kraftfullt och tyst luftflöde, justerbar vinkel, svart","1","amazon.se","Säljare","Göteborg","Sweden","","348,70","0","0","0","87,17","−87,17","−65,38","0","0","0","283,32","Släpps","22 apr. 2026 15:36:16 UTC"
"7 apr. 2026 14:16:00 UTC","26863201812","Order","407-3416115-9710724","311003-4X2NJ-EU","VIVOSUN 2-pack 15 cm trädgårdssaxar handbeskärningssax med raka blad i rostfritt stål orange","1","amazon.se","Amazon","NORRSUNDET","","","122,12","0","0","0","30,53","−30,53","−19,84","−31,56","0","0","70,72","Släpps","18 apr. 2026 22:10:43 UTC"
"7 apr. 2026 19:21:47 UTC","26863201812","Order","405-0185520-7686770","VSF-AWD4-EU","VIVOSUN AeroWave D4, 10 cm växttältklämma fläkt med avtagbar krok, 3-växlad stark och tyst luftflöde, justerbar luftflödesvinkel för hydroponi","1","amazon.se","Amazon","Partille","","","336,71","0","0","0","84,18","−84,18","−63,13","−47,29","0","0","226,29","Släpps","15 apr. 2026 18:25:50 UTC"
"9 apr. 2026 01:16:32 UTC","26863201812","Order","406-6120915-3751503","LED-100-EU-M","VIVOSUN 2020 Latest VS1000 LED Grow Light with Samsung LM301H Diodes & Sosen Driver Dimmable Lights Sunlike Full Spectrum for Indoor Plants Seeding Ve","1","amazon.se","Säljare","HÄRNÖSAND","","","833,82","0","0","0","208,46","−208,46","−156,34","0","0","0","677,48","Släpps","22 apr. 2026 07:38:43 UTC"
"9 apr. 2026 09:31:47 UTC","26777484392","Order","171-6441548-5139513","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","LERUM","","","95,83","0","0","0","23,96","−23,96","−9,58","0","0","0","86,25","Uppskjuten",
"10 apr. 2026 01:04:20 UTC","26863201812","Order","171-4754157-7992347","LED-100-EU-M","VIVOSUN 2020 Latest VS1000 LED Grow Light with Samsung LM301H Diodes & Sosen Driver Dimmable Lights Sunlike Full Spectrum for Indoor Plants Seeding Ve","1","amazon.se","Säljare","uddevalla","Sverige","","833,82","0","0","0","208,46","−208,46","−156,34","0","0","0","677,48","Släpps","21 apr. 2026 15:45:39 UTC"
"10 apr. 2026 02:29:52 UTC","26863201812","Order","403-2364855-9462703","VSGB-10-EU-M","VIVOSUN 5-pack 40 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","1","amazon.se","Säljare","Sundbyberg","Stockholm, Sweden","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Släpps","23 apr. 2026 21:44:30 UTC"
"10 apr. 2026 18:53:52 UTC","26863201812","Order","407-5645285-2171532","VSF-AWE6-G2-EU","VIVOSUN AeroWave E6 15,2 cm snäppfläkt, patenterad bärbar inomhusfläkt med klämma, kraftfullt men lågt ljudflöde, fullt justerbar lutning för","1","amazon.se","Amazon","BROTTBY","","","669,73","0","0","0","167,43","−167,43","−125,57","−61,53","0","0","482,63","Släpps","21 apr. 2026 14:31:43 UTC"
"11 apr. 2026 00:08:35 UTC","26947924442","Order","402-6532381-8388357","304113-P224-EU","VIVOSUN PRO odlingstält 60 x 60 x 120 cm, växttält med tjocklekar, 22 mm, stavar, Oxford-tyg, högreflekterande Mylar, inomhushydroponik, odlingst�","1","amazon.se","Amazon","Borlänge","","","923,97","0","0","0","230,99","−230,99","−173,24","−107,39","0","0","643,34","Släpps","7 maj 2026 01:03:18 UTC"
"12 apr. 2026 01:22:48 UTC","26863201812","Order","403-3327626-3654749","305131-EU-M","VIVOSUN Jordtestare, 3-i-1 växtfuktighetsmätare ljus och PH-testare för hem, trädgård, gräsmatta, bondgård, inomhus- och utomhusbruk, främja v","1","amazon.se","Säljare","BANKERYD","","","95,83","0","0","0","23,96","−23,96","−17,97","0","0","0","77,86","Släpps","28 apr. 2026 09:34:08 UTC"
"12 apr. 2026 07:41:33 UTC","26863201812","Order","408-2375409-2153919","CFPW-4-EU","Förfilter för kolfilter (4 tum, vit)","1","amazon.se","Amazon","HÖLLVIKEN","","","112,84","0","0","0","28,21","−28,21","−21,16","−37,79","0","0","53,89","Släpps","23 apr. 2026 17:13:27 UTC"
"13 apr. 2026 01:06:23 UTC","26863201812","Order","402-4634437-1989108","VSE-ASH09-EU-M","VIVOSUN AeroStream H09 intelligent Wi-Fi-luftfuktare, 2,38 Gal/9 l luftfuktare med temperatur- och fuktighetssond, smart fjärrkontroll, designad för","1","amazon.se","Säljare","Bandhagen","None","","1 046,26","0","0","0","261,57","−261,57","−196,17","0","0","0","850,09","Släpps","26 apr. 2026 18:17:33 UTC"
"13 apr. 2026 01:06:34 UTC","26863201812","Order","402-3890236-2707535","GH-E25-EU-FBM","VIVOSUN GrowHub E25 svart WiFi-drivrutin för växttält belysning och ventilation, stöd för SGS-enheter, Plug and Play, expansion till GrowHub E42/","1","amazon.se","Säljare","Bandhagen","None","","235,34","0","0","0","58,84","−58,84","−44,13","0","0","0","191,21","Släpps","26 apr. 2026 22:02:01 UTC"
"13 apr. 2026 01:44:29 UTC","26863201812","Order","402-5569786-3656309","VSL-LL150-EU-FBM","VIVOSUN 150W LED Odlingslampa för Växter, Fullspektrum Lumalight med Hög PPFD och Dimmfunktion, Smart Växtbelysning för Krukväxter, Odlings­tä","2","amazon.se","Säljare","Bandhagen","None","","3 269,64","0","0","0","0","0","−425,06","0","0","0","2 844,58","Släpps","28 apr. 2026 22:23:13 UTC"
"13 apr. 2026 09:50:03 UTC","26863201812","Order","402-2682386-1109122","VSL-LL150-EU-FBM","VIVOSUN 150W LED Odlingslampa för Växter, Fullspektrum Lumalight med Hög PPFD och Dimmfunktion, Smart Växtbelysning för Krukväxter, Odlings­tä","1","amazon.se","Säljare","Bandhagen","None","","1 307,86","0","0","0","326,96","−326,96","−212,53","0","0","0","1 095,33","Släpps","26 apr. 2026 23:23:43 UTC"
"13 apr. 2026 09:50:22 UTC","26947924442","Order","402-8534855-5910700","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","SKUMMESLÖVSSTRAND","","","95,83","0","0","0","23,96","−23,96","−9,58","0","0","0","86,25","Släpps","29 apr. 2026 21:54:46 UTC"
"13 apr. 2026 17:42:39 UTC","26777484392","Order","404-3034128-0454738","Spray-SX-CS4-EU","VIVOSUN Pump Sprayer 1 Gallon, Portable Water Spray Bottle in Lawn and Garden Yard, Weed Sprayer for Plants with 3 Nozzles, Adjustable Shoulder Strap,","1","amazon.se","Amazon","TORSLANDA","","","235,19","0","0","0","58,80","−58,80","−44,10","−65,36","0","0","125,73","Uppskjuten",
"13 apr. 2026 19:02:22 UTC","26863201812","Order","404-2135724-2771503","VSF-AWD4-EU","VIVOSUN AeroWave D4, 10 cm växttältklämma fläkt med avtagbar krok, 3-växlad stark och tyst luftflöde, justerbar luftflödesvinkel för hydroponi","1","amazon.se","Amazon","BROMMA","","","270,28","23,20","0","0","73,37","−73,37","−50,68","−71,46","0","0","171,34","Släpps","23 apr. 2026 15:56:42 UTC"
"14 apr. 2026 22:09:07 UTC","26863201812","Order","402-0596738-5097117","Spray-SX-CS4-EU","VIVOSUN Pump Sprayer 1 Gallon, Portable Water Spray Bottle in Lawn and Garden Yard, Weed Sprayer for Plants with 3 Nozzles, Adjustable Shoulder Strap,","1","amazon.se","Amazon","SKÖNDAL","","","235,19","0","0","0","58,80","−58,80","−44,10","−65,36","0","0","125,73","Släpps","24 apr. 2026 16:33:17 UTC"
"15 apr. 2026 00:56:52 UTC","26947924442","Order","405-7446622-1216327","PH002-EU-FBM","VIVOSUN 4-i-1 digital pH-mätare med pH/TDS/EC/Temp-funktion, 0-14,0 pH mätområde, ±0,1 pH noggrannhet vattenkvalitetstestare för hydroponik, hush","1","amazon.se","Säljare","Stockholm","","","392,72","0","0","0","98,18","−98,18","−73,64","0","0","0","319,08","Släpps","29 apr. 2026 17:19:27 UTC"
"15 apr. 2026 00:57:59 UTC","26863201812","Order","171-8453245-9870713","VSC-GCC4-EU","VIVOSUN GrowCam C4, 2K QHD WiFi smart kamera för växttält och VGrow smart växtlåda, tidslapse, mörkerseende, SD-kortförvaring, 2-vägs ljud, ap","1","amazon.se","Amazon","Bandhagen","None","","569,13","0","0","0","142,28","−142,28","−92,48","−47,29","0","0","429,36","Släpps","23 apr. 2026 22:24:07 UTC"
"15 apr. 2026 00:58:07 UTC","26863201812","Order","171-6743598-9281117","VSV-AZG6-EU","VIVOSUN AeroZesh G6 150 mm 660 m³/h inline-fläkt med E12-hastighetskontroll och fullt programmerbar PWM-styrd EC-fläkt för ventilation av odlingst","1","amazon.se","Amazon","Bandhagen","None","","779,54","0","0","0","194,89","−194,89","−146,16","−70,20","0","0","563,18","Släpps","23 apr. 2026 23:14:30 UTC"
"15 apr. 2026 14:15:56 UTC","26863201812","Order","171-1085822-2209909","VSC-GCC4-EU","VIVOSUN GrowCam C4, 2K QHD WiFi smart kamera för växttält och VGrow smart växtlåda, tidslapse, mörkerseende, SD-kortförvaring, 2-vägs ljud, ap","1","amazon.se","Amazon","VÄSTRA FRÖLUNDA","","","563,67","0","0","0","140,92","−140,92","−91,60","−47,29","0","0","424,78","Släpps","24 apr. 2026 07:44:56 UTC"
"16 apr. 2026 00:53:08 UTC","26947924442","Order","403-2011587-3488324","330701-01-EU-FBM","VIVOSUN trädgårdsnät 1,5 m x 4,6 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","FORSA","","","78,39","0","0","0","19,60","−19,60","−14,70","0","0","0","63,69","Släpps","1 maj 2026 07:00:09 UTC"
"16 apr. 2026 00:53:28 UTC","26947924442","Order","405-6926595-0738741","VSGB-10-EU-M","VIVOSUN 5-pack 40 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","1","amazon.se","Säljare","Knivsta","Sverige","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Släpps","7 maj 2026 01:33:13 UTC"
"16 apr. 2026 04:07:35 UTC","26863201812","Överföring","","","Till bankkontot som slutar på: 064","","","","","","","0","0","0","0","0","0","0","0","0","−8 878,38","−8 878,38","Släpps","16 apr. 2026 04:07:35 UTC"
"18 apr. 2026 12:50:44 UTC","26863201812","Order","407-3129211-2431508","VSVC-AZT6-EU","VIVOSUN Kanalfläkt 150 mm extraktorfläkt 693 m³/h med E12 hastighetskontroll kolfilter och 240 cm luftkanal AeroZesh T6 avgasuppsättning kyl- och","1","amazon.se","Amazon","Gustavsberg","","","1 666,66","0","0","0","416,67","−416,67","−312,50","−124,73","0","0","1 229,43","Släpps","27 apr. 2026 00:17:51 UTC"
"19 apr. 2026 01:39:29 UTC","26947924442","Order","405-9008171-8887521","SST-1-0001-EU-M","VIVOSUN 1 x 40-cells frö startbricka med 1 uppsättning LED-lampor och 25 x 52,7 cm värmematta, 9,1 cm högre överdrag, justerbara ventiler, dräne","1","amazon.se","Säljare","GÖTEBORG","","","435,90","0","0","0","108,97","−108,97","−27,24","0","0","0","408,66","Släpps","30 apr. 2026 19:00:31 UTC"
"19 apr. 2026 09:53:05 UTC","26947924442","Order","406-7589878-3960347","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","2","amazon.se","Säljare","HALMSTAD","","","191,66","0","0","0","47,92","−47,92","−19,16","0","0","0","172,50","Släpps","29 apr. 2026 15:49:18 UTC"
"20 apr. 2026 00:52:41 UTC","26947924442","Order","402-7143256-9182713","VSF-AWE6-G2-EU-M","VIVOSUN AeroWave E6 15,2 cm snäppfläkt, patenterad bärbar inomhusfläkt med klämma, kraftfullt men lågt ljudflöde, fullt justerbar lutning för","1","amazon.se","Säljare","KIRUNA","","","517,41","0","0","0","129,35","−129,35","−97,01","0","0","0","420,40","Släpps","4 maj 2026 23:58:18 UTC"
"20 apr. 2026 00:56:14 UTC","26947924442","Order","408-1104225-3373143","304113-NEW-3018-EU","VIVOSUN Växttält 75 x 45 x 90 cm växttält av högreflekterande mylar med visningsfönster och golvbricka för hydroponik och inomhusodling S3018 G","1","amazon.se","Säljare","ÅNGE","","","549,28","0","0","0","137,32","−137,32","−102,99","0","0","0","446,29","Släpps","1 maj 2026 23:08:40 UTC"
"20 apr. 2026 00:56:48 UTC","26947924442","Order","406-2808398-9594724","LH-001-EU-M","VIVOSUN 2 stycken 1/8 tum justerbar repspärr för växtljus, repfjädring med förstärkta metallväxlar, 2,4 m lång och 68 kg kapacitet repspärr f","1","amazon.se","Säljare","ÖREBRO","","","77,54","0","0","0","19,38","−19,38","−14,54","0","0","0","63,00","Släpps","30 apr. 2026 17:28:41 UTC"
"20 apr. 2026 00:56:56 UTC","26947924442","Order","402-9561949-5146751","VSF-AWD4x2-EU-FBM","VIVOSUN AeroWave D4 oscillerande klämfläktar 10 cm för odling set med 2, 3 hastigheter, kraftfullt och tyst luftflöde, justerbar vinkel, svart","1","amazon.se","Säljare","SUNDSVALL","","","344,91","0","0","0","86,23","−86,23","−64,67","0","0","0","280,24","Släpps","4 maj 2026 18:48:53 UTC"
"20 apr. 2026 06:17:09 UTC","26947924442","Order","404-0031384-3938704","304113-NEW-32-EU","VIVOSUN Growtält 90 x 50 x 160 cm växttält av högreflekterande mylar med visningsfönster och golvbricka för hydroponik och inomhusodling S326 Gr","1","amazon.se","Säljare","HUDDINGE","","","671,35","0","0","0","167,84","−167,84","−125,88","0","0","0","545,47","Släpps","1 maj 2026 20:47:11 UTC"
"20 apr. 2026 06:17:32 UTC","26947924442","Order","404-8693210-4453109","304113-NEW-27-EU","VIVOSUN Growtält 80 x 80 x 160 cm, växttält av högreflekterande mylar med visningsfönster och golvbricka för hydroponik och inomhusodling S276 G","1","amazon.se","Säljare","HUDDINGE","","","732,38","0","0","0","183,10","−183,10","−137,32","0","0","0","595,06","Släpps","30 apr. 2026 23:05:35 UTC"
"20 apr. 2026 21:07:39 UTC","26947924442","Order","404-2619852-7740366","VSC-GCC4-EU","VIVOSUN GrowCam C4, 2K QHD WiFi smart kamera för växttält och VGrow smart växtlåda, tidslapse, mörkerseende, SD-kortförvaring, 2-vägs ljud, ap","1","amazon.se","Amazon","Stockholm","Sweden","","565,00","0","0","0","141,25","−141,25","−91,81","−48,00","0","0","425,19","Släpps","30 apr. 2026 16:41:13 UTC"
"21 apr. 2026 01:04:42 UTC","26947924442","Order","406-6168310-9872306","VSL-LL100-EU-FBM","VIVOSUN 100W LED Odlingslampa för Växter, Fullspektrum Lumalight med Hög PPFD och Dimmfunktion, Smart Växtbelysning för Krukväxter, Odlings­tä","1","amazon.se","Säljare","ÖREBRO","","","948,65","0","0","0","237,16","−237,16","−59,29","0","0","0","889,36","Släpps","11 maj 2026 07:18:55 UTC"
"21 apr. 2026 01:40:57 UTC","26947924442","Order","405-1363253-4794769","VSL-LL150-EU-FBM","VIVOSUN 150W LED Odlingslampa för Växter, Fullspektrum Lumalight med Hög PPFD och Dimmfunktion, Smart Växtbelysning för Krukväxter, Odlings­tä","1","amazon.se","Säljare","KONGA","","","1 293,65","0","0","0","323,41","−323,41","−80,85","0","0","0","1 212,80","Släpps","1 maj 2026 19:52:00 UTC"
"21 apr. 2026 12:56:16 UTC","26863201812","Återbetalning","402-0854663-8672368","VSV-AZT4-EU","VIVOSUN AeroZesh T4 Inline kanalfläkt 100 mm extraktorfläkt 357 m³/h med E12 hastighetsstyrenhet och helt programmerbar PWM-styrd EC-fläkt för v�","1","amazon.se","Amazon","Linköping","","","−870,58","−13,07","0","13,07","−217,64","217,64","130,58","0","0","0","−740,00","Släpps","21 apr. 2026 12:56:16 UTC"
"21 apr. 2026 18:45:40 UTC","26947924442","Order","402-5670532-6747553","VSV-AZG4E42AP-EU","VIVOSUN Rörfläkt 100 mm frånluftsfläkt 330 m³/h AeroZesh G4 med EC-motor och GrowHub E42A+, VPD-regulator, WiFi/app-fjärrkontroll, fläkt, odlin","1","amazon.se","Amazon","KIRUNA","","","1 394,84","19,60","0","−19,60","348,71","−348,71","−261,53","−66,70","0","0","1 066,61","Släpps","4 maj 2026 16:26:43 UTC"
"22 apr. 2026 01:26:06 UTC","26947924442","Order","405-2074445-0124363","VSVC-AZG4-EU-FBM","Vivosun PRO G4 Smart Air filtreringsset, 10 cm AeroZesh G4 kanalfläkt med GrowHub E42A, kolfilter och luftkanal, ventilationssystem för växttält,","1","amazon.se","Säljare","uddevalla","Sverige","","1 091,62","0","0","0","272,91","−272,91","−204,68","0","0","0","886,94","Släpps","4 maj 2026 21:40:31 UTC"
"23 apr. 2026 01:06:40 UTC","26947924442","Order","407-9067975-1314720","VSGB-10-EU-M","VIVOSUN 5-pack 40 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","1","amazon.se","Säljare","Gällstad","","","295,03","0","0","0","73,76","−73,76","−55,32","0","0","0","239,71","Släpps","4 maj 2026 21:00:22 UTC"
"23 apr. 2026 01:07:00 UTC","26947924442","Order","402-1097890-5049136","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","SKÖVDE","","","94,78","0","0","0","23,70","−23,70","−9,48","0","0","0","85,30","Släpps","6 maj 2026 16:25:53 UTC"
"24 apr. 2026 00:43:12 UTC","26947924442","Order","406-0339319-5401100","306146-0412-EU","VIVOSUN 10 cm luftkolfilter luktkontroll med Australien jungfrukol för inbyggd fläkt, odla tält luktskrubbare, förfilter ingår, vändbar fläns 1","1","amazon.se","Amazon","NYKÖPING","","","470,04","0","0","0","117,51","−117,51","−88,13","−66,34","0","0","315,57","Släpps","2 maj 2026 18:58:10 UTC"
"24 apr. 2026 09:04:35 UTC","26947924442","Order","408-8761903-0550700","VSGB-15-EU-M","VIVOSUN 5-pack 60 liters odlingspåsar, 500 g tjocka vävda tygkrukor med bärhandtag och multifunktionella ringar, för low-stress-träning, frukt, g","2","amazon.se","Säljare","SALTSJÖ-BOO","","","642,14","0","0","0","160,54","−160,54","−120,40","0","0","0","521,74","Släpps","7 maj 2026 15:38:27 UTC"
