"Obejmują transakcje Amazon Marketplace, realizowane przez Amazon (FBA) i Amazon Webstore."
"Wszystkie kwoty w PLN, chyba że określono inaczej"
"Definicje:"
"data/godzina: opublikowana data/godzina transakcji"
"Pobrany podatek od sprzedaży: Obejmuje podatek od sprzedaży pobierany od kupujących za sprzedaż produktów, wysyłkę i pakowanie na prezent."
"Opłaty za sprzedaż: Obejmują zmienne opłaty za zamknięcie i prowizje od sprzedaży."
"Inne opłaty transakcyjne: Obejmują obciążenia zwrotne za wysyłkę, opłaty zatrzymane z tytułu zwrotu kosztów, prowizje za każdy sprzedany produkt i opłaty związane z poborem podatku od sprzedaży."
"Pozostałe: Obejmują kwoty transakcji niezwiązanych z zamówieniem. Aby uzyskać więcej informacji, zobacz kolumny „Typ” i „Opis” do każdego identyfikatora zamówienia."
"Uwaga: Raporty z datą rozpoczęcia 1 stycznia 2025 r. lub nowszej są indeksowane według daty opublikowania, obejmują zarówno transakcje opublikowane, jak i odroczone oraz mają dwie nowe kolumny. Może być konieczna aktualizacja integracji lub mapowania innych firm."
"data/godzina","identyfikator rozliczenia","typ","identyfikator zamówienia","sku","opis","ilość","rynek","realizacja","miejscowość zamówienia","stan zamówienia","przekaz pocztowy","sprzedaż produktów","noty kredytowe za wysyłkę","środki na pokrycie pakowania na prezent","rabaty promocyjne","pobrany podatek od sprzedaży","Podatek od transakcji Marketplace Facilitator","opłaty za sprzedaż","opłaty za fba","inne opłaty transakcyjne","inne","suma","Status transakcji","Data zrealizowania transakcji"
"9 kwi 2026 13:51:37 UTC","26863213332","Zamówienie","406-2059461-5741946","GH-E42AP-EU","VIVOSUN GrowHub Controller E42A","1","amazon.pl","Amazon","Wincentów","mazowieckie","05-53","376,83","0","0","0","86,67","-86,67","-46,35","-4,40","0","0","326,08","Wydano","18 kwi 2026 00:02:41 UTC"
"10 kwi 2026 02:04:21 UTC","26863213332","Zamówienie","402-6579355-6297963","VS-THB1S-EU","VIVOSUN AeroLab THB1S bezprzewodowy termometr higrometr Bluetooth do wewnątrz, VPD, cyfrowy miernik wilgotności temperatury, sterowanie i alert LCD,","1","amazon.pl","Sprzedawca","Kuźnica","","16-12","106,17","0","0","0","24,42","-24,42","-11,75","0","0","0","94,42","Wydano","21 kwi 2026 13:45:54 UTC"
"13 kwi 2026 01:06:00 UTC","26947913132","Zamówienie","404-5605659-4591534","311001-15x5-EU-M","VIVOSUN Opakowanie 5 sztuk 15 galonów worków do uprawy roślin, wytrzymale pogrubione doniczki z wlókniny z uchwytami","1","amazon.pl","Sprzedawca","Ługwałd","","11-00","111,84","0","0","0","25,72","-25,72","-13,76","0","0","0","98,08","Wydano","7 maj 2026 22:06:55 UTC"
"13 kwi 2026 09:49:51 UTC","26863213332","Zamówienie","405-5959166-5753160","311001-7x5-EU-M","VIVOSUN Worki do uprawy roślin, wytrzymale, pogrubione doniczki z wlókniny z mocnymi uchwytami, wielokrotnego użytku, oddychające pojemniki do upr","1","amazon.pl","Sprzedawca","Bielsko-Biała","","43-31","94,36","0","0","0","21,70","-21,70","-11,61","0","0","0","82,75","Wydano","24 kwi 2026 20:28:30 UTC"
"15 kwi 2026 10:14:50 UTC","26863213332","Zamówienie","171-2716527-7837109","VSV-AZT4-EU","VIVOSUN AeroZesh Wentylator kanalowy rzędowy T4, 100 mm, wentylator wyciągowy, 357 m³/h, z regulatorem prędkości E12 i w pelni programowalnym wen","1","amazon.pl","Amazon","Marki","","05-27","318,11","0","0","0","73,16","-73,16","-39,13","-5,41","0","0","273,57","Wydano","23 kwi 2026 22:52:03 UTC"
"16 kwi 2026 03:57:40 UTC","26863213332","Przelew","","","Na rachunek bankowy kończący się na: 064","","","","","","","0","0","0","0","0","0","0","0","0","-452,84","-452,84","Wydano","16 kwi 2026 03:57:40 UTC"
"19 kwi 2026 01:17:55 UTC","26863213332","Zamówienie","405-2929154-9855568","VS-THB1-EU","VIVOSUN AeroLab THB1 bezprzewodowy higrometr Bluetooth, inteligentny monitor temperatury, VPD, cyfrowy miernik wilgotności, zdalne sterowanie LCD, za","1","amazon.pl","Amazon","Kraków","małopolskie","30-08","87,37","7,31","0","-7,31","20,09","-20,09","-6,45","-4,36","0","0","76,56","Wydano","28 kwi 2026 20:53:01 UTC"
"20 kwi 2026 00:53:34 UTC","26947913132","Zamówienie","403-6828449-6998734","VSVC-AZT6E42AP-EU-FBM","VIVOSUN PRO T6 Zestaw Inteligentnej Filtracji Powietrza, Wentylator 15 cm AeroZesh T6 z GrowHub E42A, Filtr Węglowy & Kanal Powietrza, System Chlodze","1","amazon.pl","Sprzedawca","Ozimek","","46-04","998,10","0","0","0","0","0","-99,81","0","0","0","898,29","Wydano","1 maj 2026 23:11:50 UTC"
"20 kwi 2026 00:53:34 UTC","26947913132","Zamówienie","403-6828449-6998734","VC-0002-EU-FBM","VIVOSUN 2 szt. Oslona wentylacyjna do namiotu, 10 cm/15.2 cm/20.3 cm oslona wentylacyjna z elastyczną taśmą i stalą klamrą do wentylacji namiotu","1","amazon.pl","Sprzedawca","Ozimek","","46-04","92,93","0","0","0","0","0","-9,29","0","0","0","83,64","Wydano","1 maj 2026 23:11:50 UTC"
"20 kwi 2026 00:53:34 UTC","26947913132","Zamówienie","403-6828449-6998734","VS-THB1S-EU","VIVOSUN AeroLab THB1S bezprzewodowy termometr higrometr Bluetooth do wewnątrz, VPD, cyfrowy miernik wilgotności temperatury, sterowanie i alert LCD,","1","amazon.pl","Sprzedawca","Ozimek","","46-04","130,59","0","0","0","0","0","-11,75","0","0","0","118,84","Wydano","1 maj 2026 23:11:50 UTC"
"20 kwi 2026 18:01:47 UTC","26863213332","Zamówienie","403-8052084-3218742","VSF-AWE6-G2-EU","VIVOSUN AeroWave E6 wentylator z klipsem do uprawy roślin o przekątnej 6 cali, inteligentne sterowanie WiFi, opatentowany przenośny wentylator, sil","1","amazon.pl","Amazon","Ozimek","","46-04","191,83","10,56","0","-10,56","44,12","-44,12","-23,60","-4,95","0","0","163,28","Wydano","28 kwi 2026 21:55:41 UTC"
"23 kwi 2026 01:01:57 UTC","26947913132","Zamówienie","408-9635608-1370730","VSE-ASH05-EU-M","VIVOSUN AeroStream H05 Nawilżacz roślin, 24dB Cichy, zimna mgla 360°, 50h użytkowania, górny wypelniacz ultradźwiękowy, do Grow Tents i Grow Bo","1","amazon.pl","Sprzedawca","Katowice","","40-14","308,31","0","0","0","70,91","-70,91","-18,96","0","0","0","289,35","Wydano","4 maj 2026 17:07:48 UTC"
"30 kwi 2026 01:39:24 UTC","26947913132","Przelew","","","Na rachunek bankowy kończący się na: 064","","","","","","","0","0","0","0","0","0","0","0","0","-2569,91","-2569,91","Wydano","30 kwi 2026 01:39:24 UTC"
"2 maj 2026 01:09:01 UTC","27033525132","Zamówienie","404-3890057-8617923","VSC-GCC4-EU-M","VIVOSUN GrowCam C4, inteligentna kamera 2K QHD WiFi do namiotu do uprawy i VGrow Smart Grow Box, timelapse, noktowizor, przechowywanie kart SD, 2-dro�","1","amazon.pl","Sprzedawca","Oborniki","","64-60","239,79","0","0","0","55,15","-55,15","-14,75","0","0","0","225,04","Wydano","14 maj 2026 14:38:54 UTC"
"5 maj 2026 02:04:59 UTC","27033525132","Zamówienie","171-6943937-2273945","VSV-IFP6C-EU-FBM","VIVOSUN Wentylator rurowy 150 mm z regulatorem prędkości obrotowej, cichym wentylatorem wyciągowym 587 m³/h, do wentylacji HVAC, namiotów uprawny","1","amazon.pl","Sprzedawca","Kraków","Malopolskie","30-29","168,50","0","0","0","38,76","-38,76","-20,73","0","0","0","147,77","Wydano","18 maj 2026 22:48:04 UTC"
"6 maj 2026 02:17:35 UTC","26947913132","Zamówienie","408-0927647-3998721","VSGB-7-EU-M","VIVOSUN 5 sztuk worków do wzrostu roślin, 360 g, pogrubiona wlóknina z mocnymi uchwytami i pierścieniami wielofunkcyjnymi, worek na rośliny do ni","2","amazon.pl","Sprzedawca","Szczytniki","","62-02","223,68","0","0","0","51,44","-51,44","-27,52","0","0","0","196,16","Odroczono",
"9 maj 2026 01:22:12 UTC","26947913132","Zamówienie","407-0624154-7831544","VSI-FFD2-EU-FBM","VIVOSUN Flexfeed Automatyczny system nawadniania kropelkowego 4 W z pompą i 4 nadajnikami, profesjonalny zestaw zraszaczy sterowany aplikacją","1","amazon.pl","Sprzedawca","Opole","","45-40","102,75","0","0","0","23,63","-23,63","-11,37","0","0","0","91,38","Odroczono",
"9 maj 2026 01:22:12 UTC","26947913132","Zamówienie","407-0624154-7831544","VSE-UH075-EU-M","VIVOSUN AeroStream U075 Nawilżacz USB, 750 ml, mini nawilżacz z 2 trybami mgly, automatyczne wylączanie, inteligentny pilot zdalnego sterowania, za","1","amazon.pl","Sprzedawca","Opole","","45-40","143,86","0","0","0","33,09","-33,09","-17,70","0","0","0","126,16","Odroczono",
"10 maj 2026 06:43:39 UTC","26947913132","Zwrot kosztów","404-1143394-5960317","VSL-LRSF50-8-EU-FBM","VIVOSUN LumaRay lampa LED do uprawy roślin, 40 cm, zestaw 8 sztuk, pelne spektrum oświetlenia bocznego z 60% czerwonym światlem dla maks. 25% więk","1","amazon.pl","Sprzedawca","Rzeszów","","35-50","-884,90","0","0","0","0","0","70,79","0","0","0","-814,11","Wydano","10 maj 2026 06:43:39 UTC"
"11 maj 2026 00:55:59 UTC","26947913132","Zamówienie","404-6717732-2929117","VSEX-CGM-BL-EU-FBM","VIVOSUN Maszyna do robienia gumy, bez użycia rąk, jadalny mikser z olejem z podwójnym wirnikiem, garnek ze stali nierdzewnej klasy spożywczej i si","1","amazon.pl","Sprzedawca","Rzeszów","","35-50","329,85","0","0","0","75,87","-75,87","-20,29","0","0","0","309,56","Odroczono",
"13 maj 2026 16:35:44 UTC","27033525132","Zamówienie","407-2318525-0334710","VG-Y18B-EU","VIVOSUN VGrow All-in-One Smart Grow Box, profesjonalny system z urządzeniem Samsung LM301H EVO Grow Light, zaawansowany system cyrkulacji i wentylacj","1","amazon.pl","Amazon","Opole","","45-40","2775,04","10,56","0","-10,56","638,26","-638,26","-341,33","-10,36","0","0","2423,35","Odroczono",
"14 maj 2026 03:37:01 UTC","27033525132","Przelew","","","Na rachunek bankowy kończący się na: 064","","","","","","","0","0","0","0","0","0","0","0","0","-1470,50","-1470,50","Wydano","14 maj 2026 03:37:01 UTC"
