日期,国家,Order ID,金额
,,112-1960470-4921849,76.03
,,111-1270259-4884248,21.24
,,113-7614516-4625867,12.99
,,114-9140295-4993866,42.99
,,111-8447772-5738669,12.99
2021-11-09,,112-3659241-7724267,61.99
,,113-0720691-9624238,80.0
,,113-2856961-7881038,21.76
,,112-6732198-4433855,94.94
,,113-6472698-0691430,12.99
,,114-3944420-5605846,51.99
,,114-2528985-4627462,28.52
,,114-1496270-0068222,108.11
,,114-0946393-8086604,51.99
,,114-4125544-4745801,97.41
,,702-5593542-3425854,95.99
,,111-9736644-6135449,28.64
,,111-6936181-5759460,29.88
,,112-2600234-2029021,17.31
,,702-2412512-9976260,59.99
,,113-8338129-0036245,44.51
,,111-2749436-0186607,50.99
,,112-8648019-0468267,15.0
,,114-9498005-0176238,35.0
,,113-2823169-1349841,32.08
,,111-5519508-7909042,5.0
,,114-3508926-1175415,109.99
,,113-9515913-5841812,19.99
,,701-1262921-4133838,61.99
,,111-7015024-0411455,25.99
,,112-7138359-5909847,15.07
,,112-5421682-9929818,84.99
2021-11-10,,111-0237146-5329845,66.0
,,113-0669523-0312269v,18.07
,,112-3020444-8445037,69.99
,,113-5912064-3700223,99.99
,,111-8355099-3681008,61.99
,,111-2856283-7821040,21.19
,,701-5932125-0327469,80.0
,,114-2050474-6033047,40.0
,,114-9542482-3794663,20.0
,,111-1206877-3949069,5.0
,,114-9132529-1121818,42.22
2021-11-11,,112-9017983-4713853,60.47
,,113-8145397-2821059,30.0
,,112-0753917-7059406,30.0
,,112-0026274-9907454,119.99
,,111-8775624-2193028,13.9
,,111-3534853-3465051,50.0
,,702-1977324-8833830,79.99
,,113-1699558-9077020,108.59
,,701-1570219-8039415,100.0
,,114-7601754-7527411,13.24
,,112-7103536-9109803,389.99
2021-11-12,,112-2782571-7109010,131.08
,,114-4021328-9701059,75.96
,,111-0085212-9841044,25.52
,,112-9091166-0193009,17.39
,,113-6897888-8750616,42.39
,,111-2556636-7621867,40.0
,,114-0954512-7238660,85.99
,,701-6300120-9300225,40.0
,,114-9485260-2834660,20.0
,,111-2291272-5777841,51.99
,,111-9932295-9243427,12.99
,,112-7765114-8828219,75.99
,,114-6520983-6410624,45.72
,,113-5870841-9686652,50.0
,,111-1968076-5833043,110.0
,,112-9926256-2213043,11.99
,,701-1987253-3752207,62.99
,,113-5672595-6074632,23.0
,,113-3807982-0195400,69.99
2021-11-13,,114-5232733-7671439,254.99
,,109-0051793-5486663,24.99
,,112-7371320-2699431,129.99
,,113-0737842-8131450,30.0
,,113-9952205-6132269,124.99
,,111-9512006-4122669,19.99
,,113-0254027-3817827,25.99
2021-11-14,,114-3746859-3965839,169.99
,,112-4069754-7081051,22.09
,,111-0018979-0585057,123.92
,,111-8090706-9540221,14.71
2021-11-15,,113-7467404-3040230,103.43
,,113-5891751-3080258,12.99
,,113-2964393-5428217,99.99
,,702-7363003-5762646,69.99
,,702-4945757-1929025,59.99
,,114-8521555-4630642,70.0
,,111-0352036-0129054,40.99
,,112-6557302-3929059,162.55
,,114-1201059-1898658,37.09
,,114-0481389-8345023,40.0
2021-11-16,,114-9591505-5799445,173.99
,,112-1982258-4507423,300.0
,,113-2945557-1740212,10.0
,,112-4850354-6023465,10.0
,,113-3237131-7003425,10.0
,,701-0898485-0810618,149.99
,,114-4354630-9385861,26.99
,,114-9293390-4677029,5.0
2021-11-17,,114-9147691-7344268,60.0
,,112-4543510-0508228,9.99
,,113-0265590-5607470,30.0
,,111-7783338-6003401,105.99
,,113-8500109-4373827,70.0
,,113-7686631-7692224,172.11
,,113-4192111-3405056,13.99
,,114-1614388-2104236,99.99
,,112-2307701-1392201,62.99
2021-11-18,,114-0188167-0425819,14.99
,,114-7044902-6853038,19.49
,,113-7439451-3537003,19.99
,,112-8949294-8564245,25.99
,,112-8026372-7461826,42.67
,,112-9479919-5843407,15.0
,,113-9427939-2151464,19.99
,,112-8978241-4744245,202.26
2021-11-19,,112-4194343-9858658,10.0
,,113-3918572-9529833,30.65
,,112-5954266-6300224,24.23
,,701-2927981-6367447,21.41
,,113-7456535-7567415,75.0
,,112-3515824-1701820,98.96
,,112-5375468-2477007,24.66
,,112-8080954-3437011,34.19
,,114-4338875-6631425,92.72
,,111-3296936-6178655,27.42
,,112-6028756-5391426,51.99
,,112-3400507-0515453,99.99
,,114-8059179-2757813,15.56
,,111-9354889-4737811,28.61
,,112-5161832-3241867,26.44
,,113-6506091-3613820,65.99
,,111-9245679-2413043,37.99
,,114-6093373-0530627,30.59
2021-11-20,,114-1789431-9302607,30.0
,,112-7247823-3080209,12.49
,,701-3878345-5147417,69.99
,,111-7355606-3527419,62.99
,,111-3038435-0024249,5.0
,,702-7675349-0265045,28.99
2021-11-21,,114-0550088-9797854,108.49
,,113-0685710-1641053,27.99
,,113-8140220-3090645,18.01
,,702-1908416-1689053,37.94
,,111-9198508-5324226,117.69
,,112-1042440-1575425,105.99
,,701-4712066-6926659,69.98
,,112-5372258-7276208,220.89
,,114-1353563-3933869,7.4
,,114-4526322-8981859,50.0
,,113-0841864-9158629,40.0
,,112-9922308-5620248,51.99
,,112-0495917-0519414,20.0
,,701-0860859-4009031,20.99
2021-11-22,,114-4376235-8067434,22.49
,,112-7710976-6836253,50.87
,,113-1821175-3701003,209.99
,,113-7662120-6119459,19.99
,,702-9197278-0754630,89.99
,,111-1474873-5986609,29.98
,,114-9359515-9706665,124.0
,,114-3660105-7059416,29.55
,,111-1822402-6359415,79.99
,,111-5761847-4368262,88.99
,,114-8885708-2677815,19.99
,,112-6806152-1441020,13.62
,,111-5866116-3917852,56.69
,,114-2110448-8645034,60.45
2021-11-23,,113-6614865-5570609,177.56
,,114-9680018-8592202,131.44
,,113-6785523-5715414,199.98
,,114-6261511-9355415,6.99
,,114-3538014-8902606,10.0
,,701-0956641-9169018,10.0
,,112-4107090-0349022,36.5
,,114-5520758-4061064,10.0
,,113-7074581-4373049,5.0
,,113-4027595-0358647,20.0
,,114-0539655-2635449,50.96
,,111-8929578-5709842,95.99
,,111-6228011-9592227,95.99
,,111-5422126-0477053,95.8
,,113-1544283-2293012,86.19
,,113-8951778-8844236,19.99
,,113-0257229-1297818,49.95
2021-11-24,,111-6732392-2888213,131.81
,,113-3116499-8474664,15.56
,,112-8024087-2257863,62.99
,,701-1019362-1121020,59.99
,,701-2683334-0783459,119.99
,,111-6972067-0945829,29.49
,,113-7932671-8701847,30.0
,,111-7162914-8510647,39.47
,,111-5688880-8020266,84.99
2021-11-25,,112-4365617-4972235,12.99
,,112-3760959-9161067,5.0
,,112-6333746-7825055,424.38
,,111-4273118-0042663,24.95
,,114-1078387-2919414,16.99
,,113-7552890-6126618,25.78
,,701-5797212-5371445,139.98
,,112-8755685-1279468,28.13
,,702-4583129-5350642,59.99
,,702-0644173-5052238,35.0
,,113-6884099-2345058,20.0
,,113-0749454-0476247,179.99
,,112-5381442-2938622,108.51
,,111-8131512-6021065,100.69
,,701-8967140-8956206,67.99
2021-11-26,,701-7340600-7285867,30.0
,,112-8208335-9485030,34.12
,,112-6426927-1051450,16.99
,,113-7724020-5937001,12.99
,,114-8164788-8758616,24.99
,,112-0181594-6049020,61.99
,,702-9412963-4774644,32.99
,,113-1077318-0713025,62.99
,,112-9040983-0432209,15.0
,,112-0754382-8176225,61.99
,,111-5526030-1528203,30.0
,,702-3624299-5642648,59.99
,,113-9032252-7528212,28.54
2021-11-28,,113-6768416-6188251,10.0
,,114-4776746-6513063,43.79
2021-11-29,,114-0890798-5660255,100.0
,,112-4358874-2557026,24.83
,,113-7824522-2607460,162.36
,,112-9355893-5794607 ,25.64
,,112-4028291-3030625,30.23
,,114-7132779-4249811,15.11
,,702-6630774-3183453,74.99
,,114-4741921-3067411,11.69
,,114-7345448-8341869,24.99
,,111-7947268-7867435,19.99
,,114-4143268-5491401,36.0
,,114-2555204-8235406,70.0
,,701-5761606-5315401,89.99
,,113-7449655-0579443,62.99
2021-11-30,,112-3638914-1446661,10.0
,,111-9798154-2732238,85.99
,,701-1606474-3515409,124.99
,,111-8794590-4710615,29.99
,,111-7327125-3569831,15.04
,,113-0192065-7153052,128.35
,,702-4815285-2414635,29.99
,,112-6498329-0641018,124.0
,,113-9726632-3764202,15.0
,,114-6266307-4421056,75.0
,,112-1742788-2361807,12.99
,,702-8794609-9169017,104.0
,,113-5369245-7643451,19.99
2021-12-01,,702-1989437-0667442,73.99
,,114-4336183-8210630,29.57
,,114-6500045-0892235,49.99
,, 111-8884327-1453810,30.0
,,112-1549798-4541862,26.99
,,114-9554652-2964255,94.99
,,114-2388721-1762664,11.2
,,701-0768145-6651418,26.38
,,111-3418642-2575422,26.99
,,114-0787128-3590633,19.99
,,701-1231556-4097042,139.99
,,113-9422669-4027450,79.99
,,113-0715649-1512202,5.0
,,113-1214315-7217021,19.99
,,114-8485829-6381831,30.73
,,112-8361300-3149869,12.99
,,113-1651876-2226616,6.99
,,111-4834365-4491458,10.0
,,112-6764448-1765058,39.99
,,701-1697581-7180219,10.0
,,114-9853462-2483452,22.0
2021-12-02,,111-8337794-6730619,47.39
,,111-2315596-4381008,10.0
,,111-5272315-9245014,87.42
,,701-0351468-9159441,16.99
,,112-8744051-4323461,84.99
,,112-4788076-0371461,16.99
,,114-0268963-6834618,51.99
,,113-0959174-9797850,104.25
,,112-3180537-7961039,19.99
,,112-1686338-4582637,29.99
,,111-2149431-5819435,5.35
,,112-3529273-9634610,15.0
,,114-3952716-5467433,13.99
2021-12-03,,111-3525436-5113011,25.0
,,114-9328219-3230665,10.9
,,702-3182446-2986616,16.99
,,112-5617297-4417000,8.49
,,114-0466690-6457834,64.99
,,112-1495146-0643462,50.0
2021-12-04,,113-6529134-3008233,20.99
,,702-3533895-7120233,59.99
,,113-7926498-3642630,26.99
,,111-8479090-2181015,40.0
,,111-5813982-3732215,69.99
,,113-4015669-6822602,10.0
,,113-2659342-4632259,45.0
2021-12-05,,111-1137469-2486638,199.09
,,701-1661068-7028228,49.99
,,112-8034727-4941062,59.99
,,111-2375923-2125832,36.99
,,112-5352490-5889802,36.99
,,114-2062327-4097827,199.98
,,114-2665752-0882655,105.99
,,113-0779074-2029037,19.99
,,114-7608441-4556268,12.4
2021-12-06,,112-5810618-9772228,42.58
,,111-0019208-7077807,19.99
,,114-2940711-9416211,26.99
,,113-3478484-9114641,20.0
,,114-3856194-6519454,80.0
,,113-6408149-4749022,30.0
,,111-2739286-8493812,75.0
,,113-9734025-9607465,18.99
,,111-4128028-2885828,26.49
,,114-3799883-1663462,25.99
,,112-6786985-3591466,35.99
,,111-5700897-0909856,78.96
2021-12-07,,702-3715670-3045044,30.0
,,702-9772880-2413048,42.48
,,113-6710539-1296239,26.42
,,111-1497041-0018602,12.99
,,114-8053923-9095421,70.65
,,702-9898942-6491455,58.0
,,111-3021360-3838651,31.58
,,111-1718304-5860222,14.78
,,112-7952388-0027402,25.8
,,112-4247725-9044232,19.99
2021-12-08,,701-8306232-7304239,84.99
,,114-0325377-7119408,23.85
,,111-0909883-7291400,80.0
,,113-0386843-2443426,29.99
,,113-0839203-5124247,29.99
,,112-4794137-9036242,87.59
,,111-1731240-5809839,70.0
,,701-6375878-9937841,40.0
,, 114-5007518-7915466,5.0
,,112-3594503-1322636,32.51
,,701-5116100-0622640,12.99
2021-12-09,,114-5242136-7817027,19.99
,,112-2021730-4413023,43.59
,,701-0417133-5084266,36.99
,,112-8108393-9601815,6.99
,,113-7779544-5361807,25.0
,,113-9950680-1452250,29.98
,,113-0242051-3623434,50.0
,,112-6062094-7549861,15.0
,,113-4133318-8142663,25.0
,,114-5607250-0560266,18.22
,,114-7305328-9853011,4.5
,,114-4222390-4181051,25.99
,,702-2793184-0652250,115.99
,,114-2400195-3565840,169.99
,,112-0246207-6254630,69.19
,,113-8630361-7813048,12.99
,,702-1601587-4660228,10.0
,,113-5993447-1707446,28.02
2021-12-10,,114-7598232-1593849,549.99
,,111-2745937-1919442,25.64
,,112-2845226-5125006,17.37
,,111-7834495-5457815,99.99
,,113-8445149-3446607,14.18
,,114-0166065-4347465,20.0
2021-12-11,,111-5785722-4113024,25.97
,,113-6992149-8809802,80.42
,,112-6804565-9618616,19.99
,,111-8689046-0949851,21.47
,,114-8129092-5327436,10.7
,,113-4904350-5531420,25.0
2021-12-12,,114-5186050-2710657,50.0
,,111-0197895-4228274,149.99
,,112-0609923-7655440,15.0
,,701-6600483-3262651,70.0
,,111-0085629-4350630,15.0
,,111-2628411-7447424,13.99
,,112-3782490-2588205,45.0
,,112-7174076-2486637,5.0
2021-12-13,,114-7258004-4768218,22.94
,,114-9258477-5795446,13.99
,,112-0039948-4501047,62.99
,,113-0405072-1657027,99.99
,,112-3984671-9175444,75.37
,,114-6331888-2334665,9.73
,,114-7385720-2560222,12.99
,,111-0258269-5828262,71.99
,,112-5774312-9864231,16.99
,,111-7106010-9360224,211.99
2021-12-14,,112-7483823-6806612,14.99
,,111-7248639-9034654,202.34
,,113-6731776-3718611,12.71
,,111-8063059-2959423,30.0
,,114-0924309-5292239,120.0
,,111-6304032-3828235,57.57
,,114-7644202-5077814,10.0
,,114-5856717-4273844,85.99
,,113-8776310-7845027,15.0
,,111-6388743-6620235,24.85
,,112-0482055-8607400,26.99
,,112-9247410-2857035,22.99
,,111-9617016-9896257,89.99
2021-12-15,,113-6416535-9040222,7.99
,,702-2306772-0685040,67.99
,,114-3054006-2908261,10.79
,,112-1825520-4261057,30.0
,,114-9396479-1210612,25.0
,,702-3082217-8094635,71.39
,,114-1677570-8268200,16.99
2021-12-16,,113-0279336-6426607,30.23
,,114-6359273-8973044,19.99
,,112-7011871-0854628,30.0
,,111-9452795-7164247,49.68
,,112-6630007-6261855,19.99
,,701-2862559-6887408,60.0
,,111-7683575-7229851,18.31
2021-12-17,,112-6653999-3218650,29.99
,,112-2368693-3838639,20.0
,,113-1146130-0698632,16.1
,,112-4984536-8593827,66.98
,,112-6424299-0299443,49.48
2021-12-18,,114-4330090-9529821,100.0
,,112-1249001-9136224,11.99
,,113-4595776-4587401,70.0
,,701-7268986-0249801,16.94
,,701-2290855-0844216,135.59
2021-12-19,,112-8213279-3465860,45.0
,,112-5133511-8030623,45.15
,,114-9970229-5101852,10.0
,,702-7110302-8383458,12.9
,,114-8304750-4001016,25.43
,,113-6686170-5946602,33.31
,,114-9892478-4231410,15.99
2021-12-20,,113-3423648-7501017,13.93
,,114-9211738-6840240,83.99
,,113-9480535-0622606,10.0
,,111-9216868-8114661,25.78
,,701-9747094-9443444,17.84
,,111-2704857-2894610,101.75
,,111-2530364-6587403,101.75
,,114-2721616-5908256,35.0
,,111-8990827-6723432,12.99
,,112-3005392-8820260,100.0
,,111-5403797-6729024,55.0
2021-12-21,,111-7185950-2215409,70.0
,,113-3101013-2169036,134.99
,,114-0322800-2015427,99.99
,,701-5910569-2765026,97.17
,,113-1791165-1123435,29.99
,,114-1548673-2549832,50.0
,,113-1369491-5777824,10.69
,,112-7226810-7957806,198.95
,,111-9650773-2221069,13.77
,,112-4450567-8927428,89.99
,,113-0544074-7744237,23.39
,,113-6285245-1233816,25.99
,,702-4662537-0688235,128.99
,,112-8226155-4393068,12.99
,,112-4594753-3586604,89.99
,,702-6907216-9839439,10.0
,,112-8796813-4704269,23.8
2022-12-22,,113-7803701-0390658,99.99
2022-12-23,,113-8595493-2757835,47.99
2022-12-24,,112-5917140-7827434,19.03
,,702-1623114-6153806,16.99
,,114-1710707-2178623,116.89
,,113-4961414-2921836,62.99
,,111-5317966-5057862,134.09
,,701-6289227-8244238,64.99
,,702-5158765-3812232,20.0
,,112-2874899-8329801,47.58
,,114-7651039-4331435,13.77
,,113-5982656-6029030,15.0
2021-12-25,,112-0832551-6503466,22.99
,,114-4912187-5958605,16.99
,,111-4458474-8229815,107.86
,,112-7794469-0395424,78.65
,,113-4730542-4099453,104.99
,,111-5859653-9201867,64.99
2021-12-26,,112-1440784-6984261,62.99
,,111-5328603-4520223,113.94
,,112-2143407-1312260,20.0
,,702-5430883-8331465,130.0
,,113-7055191-6072217,180.0
,,113-7215266-0672222,20.0
,,111-3676676-5345067,62.99
2021-12-27,,114-7809349-1444241,88.26
,,113-5489352-4456255,10.0
,,112-8510359-9981847,22.99
,,114-8513002-9457816,20.0
,,112-8417860-4153002,12.99
,,112-6922508-3402608,84.98
,,702-2958648-0708258,67.99
,,702-8251400-5448223,30.0
2021-12-28,,114-4039645-7115454,30.0
,,114-9011589-1449063,12.99
,,701-7190247-8681009,16.99
,,114-4749567-5353823,19.99
2021-12-29,,701-7441976-3077057,27.99
,,114-4523239-7113014,62.99
,,111-0192450-1462605,40.0
,,111-7931539-3844217,38.31
,,113-9724776-8265817,50.0
,,114-8827460-4886665,86.59
2021-12-30,,114-1764149-4895411,50.0
,,113-5739682-2273825,62.99
,,111-7765201-8885047,10.0
,,111-8578498-7887442,7.99
,,112-6435339-2201045,53.56
,,114-4803321-5159443,7.53
,,111-4802520-7092250,20.0
2021-12-31,,112-3347360-1722652,49.48
,,702-4958855-9705853,20.0
,,113-9879601-2099407,19.99
,,114-8056603-5782624,20.0
,,701-1403307-3245838,45.0
,,112-7733716-7519433,19.99
,,112-2566711-4645046,28.99
,,113-6537006-8104231,10.0
2022-01-01,,113-1272708-6497062,20.0
,,114-3240861-0883420,15.0
,,113-4496528-1205830,24.89
,,112-3682635-1466664,20.0
,,112-1506418-0081829,90.0
,,112-5603478-0201029,47.99
,,113-0428641-9031401,24.99
,,113-5186083-3004227,15.18
,,113-6953182-0093050,18.26
,,111-1844013-6609816,19.99
2022-01-02,,111-0603752-5017822,30.0
,,701-6093373-7689840,50.0
,,112-0513954-4181866,27.99
,,113-6414351-4669807,50.0
2022-01-03,,113-7211285-6627466,74.06
,,111-7639259-3703401,19.99
,,701-8837538-1063438,10.0
,,701-7207790-0381865,26.99
,,112-5837678-5853827,20.0
,,111-7222158-0941030,30.0
,,111-4757072-7405851,32.5
,,114-6260252-4601837,35.0
,,113-3879899-1285020,97.37
2022-01-04,,113-7807694-7667431,15.99
,,113-8463078-9437016,21.99
,,702-9503267-2664218,199.99
,,112-5488355-0985038,90.95
,,113-3265713-8309019,18.01
,,702-0819345-2267427,45.19
,,113-0695810-0698623,84.99
,,112-7931491-8061005,12.99
,,111-2754463-0809860,49.95
2022-01-05,,112-3701909-0560213,40.0
,,114-1408768-9562622,19.16
,,111-0756802-9299435,85.99
,,112-3128831-6203411,30.0
,,701-9883918-4908214,38.99
,,113-3434859-5443410,18.38
,,114-8524855-5620226,12.99
,,113-3791574-8388212,30.0
,,114-6078393-8702634,89.99
2022-01-06,,111-8168141-9712240,40.0
,,113-6289947-5226620,13.99
,,113-4979119-8719462,59.99
,,114-8776820-1771413,40.0
,,114-1860210-5710657,40.0
,,702-0257454-5848277,229.99
,,113-8160823-3981844,31.78
,,113-6279727-2529066,120.0
,,111-0483449-0676236,19.99
,,112-9874524-7981811,69.99
,,112-0903934-0383469,22.99
,,113-6627852-5174655,10.76
,,112-8378643-3521003,147.39
,,701-8855863-3974637,20.0
2022-01-07,,111-2468461-9687460,15.0
,,111-2255212-2944216,89.95
,,112-2031737-8811406,27.64
,,113-4394446-3165040,19.99
,,112-0948429-8049024,75.99
,,113-4699807-4386641,20.0
,,111-6075580-6389017,20.52
,,114-0506286-7741863,73.29
,,114-2910568-0342659,21.39
,,113-7991971-6957833,19.99
,,114-6184818-4979442,20.0
2022-01-08,,111-5924785-8302667,39.95
,,113-8209771-6411431,30.99
,,701-0062399-1821065,60.0
,,112-8796130-7305024,30.4
,,112-3937332-1550641,31.8
,,114-6323262-3411443,30.0
,,701-1491438-8233834,50.0
,,701-1914315-6063449,128.99
,,114-3890446-9501014,42.2
2022-01-09,,114-6818645-2998634,5.0
,,114-7409522-3508244,30.75
,,114-4055473-3702604,13.9
,,111-2619476-6081067,16.99
,,114-6987426-4875439,50.0
,,114-6576212-6220217,190.79
,,701-1917709-8586605,30.0
,,701-0776626-2943417,41.99
,,702-5126694-1827467,89.99
,,111-5111656-4137055,21.59
,,113-8639577-7474651,19.99
,,111-0111176-5077044,12.99
,,113-5977713-4797849,30.0
2022-01-10,,113-0162199-9409833,62.99
,,113-2324878-9823418,84.99
,,114-7085381-6443404,5.0
,,701-7910018-8755404,159.99
,,702-8878393-7701035,15.0
,,113-3643467-6078642,40.0
,,112-9826819-8347437,45.49
,,112-0223811-7313852,65.0
,,112-0444829-1424251,12.99
2022-01-11,,112-3001687-9389036,109.2
,,114-6636219-7913060,10.0
,,112-6179569-2263443,9.99
,,701-3674365-8619461,74.99
,,702-1442679-4645868,40.0
,,112-6137829-6908233,110.0
,,114-8569996-1881804,11.99
,,701-5244904-1822650,74.99
2022-01-12,,111-0728182-8171421,30.0
,,113-5978780-2173048,28.19
,,113-7166919-9833814,71.22
,,113-4133942-4796259,26.38
,,113-6766002-7736214,17.65
,,113-2399016-9188244,30.0
2022-01-13,,114-1729877-9175464,20.0
,,113-8142379-6705046,20.0
,,111-9434151-8508208,30.3
,,113-9657825-5192212,19.99
,,112-2147782-3805039,13.9
,,112-0028161-0887466,32.34
,,112-1402412-1131423,18.01
,,113-1408791-3081006,80.0
,,111-5670793-8353802,39.99
,,113-7761442-2792261,10.0
,,112-6818939-3224226,19.07
,,113-9197869-2765054,27.61
2022-01-14,,114-6168498-9380211,20.99
,,112-7833433-3468211,19.32
,,702-9604860-4788208,16.99
,,113-8503087-3325010,50.0
,,111-8633569-8759441,21.84
,,111-9872712-1159406,15.11
,,113-3812336-1740258,32.99
,,113-8130482-6957820,25.0
2022-01-15,,112-0676953-7409804,136.12
,,113-9937136-9289843,149.79
,,112-0676953-7409804,136.12
,,111-7000088-6808250,20.0
2022-01-16,,112-5148115-6012267,12.0
,,112-9281309-2575456,13.99
,,114-8067671-8285002,26.57
,,701-7600553-0528235,40.0
,,113-7229579-1803456,15.0
,,113-0116918-7065839,19.99
,,111-4676587-5616224,31.99
,,114-8408743-2546638,33.05
,,114-2381979-3329812,63.29
,,113-6299751-7033863,15.0
,,113-4219799-9351469,21.74
,,701-0213508-1287436,15.0
2022-01-17,,113-6438778-4937816,40.0
,,701-8591493-2635414,16.99
,,113-7147467-5398661,20.0
,,113-2953879-7801861,45.0
,,114-0976438-7386637,20.0
2022-01-18,,111-6080387-1823461,29.99
,,112-8606239-2533863,22.71
,,111-2261498-2406615,20.0
,,114-2964331-2433824,16.84
,,113-7104288-4145058,45.99
,,112-6915318-2995413,5.0
,,111-7969370-1748242,24.77
,,114-5729825-9893044,25.99
,,111-7889937-5596213,51.52
,,113-7787467-3801848,57.98
2022-01-19,,114-2774641-4945060,129.99
,,114-8055600-0075466,11.3
,,702-1293418-4718606,16.99
,,114-0744278-8493050,15.0
,,112-6683115-3086606,56.85
,,702-6393712-8154625,56.49
,,114-2436352-8495412,30.0
,,112-4808010-4556222,50.0
,,113-4334502-8009012,51.93
,,111-9844730-5157009,62.99
,,114-5413822-6153038,15.04
2022-01-20,,112-3397315-0813047,25.0
,,112-4779079-5792252,35.0
,,111-2392150-1303453,26.95
,,701-6507554-9597004,179.99
,,701-4368014-1082643,189.99
,,701-2543937-3057013,35.69
,,701-0686369-9810643,32.99
,,701-1827773-3785807,4.03
,,111-3564036-3955438,62.99
,,111-1152344-8156262,171.18
,,113-2301517-9079452,200.0
,,113-5124985-3041068,44.32
,,111-4476690-8688203,105.99
,,111-4309188-4163454,95.39
,,113-0968501-7405053,21.44
,,111-3847511-3220267,89.99
,,114-2358846-1674625,63.99
,,112-6993075-6582615,10.94
2022-01-21,,701-4565048-6570631,200.0
,,114-4048463-5517825,5.0
,,702-2403038-3982622,19.99
,,112-1752887-8676262,84.99
,,113-7289226-4257000,40.0
,,702-7341179-9406620,67.78
,,112-5552968-5856220,40.18
2022-01-22,,113-1547625-4356265,56.3
,,701-9923445-9526627,37.79
,,111-3875543-6161820,151.61
,,113-3960946-2063457,25.0
,,113-9588493-6579419,20.13
,,113-9517989-2007432,298.04
,,701-5830334-3201803,139.99
2022-01-23,,114-5267120-6933817,35.0
,,113-5516226-5808236,32.85
,,113-7784453-3705038,5.0
,,113-1441663-0111439,5.0
,,701-3165943-3997825,24.99
,,702-6989748-1294608,44.84
,,113-2975793-2385851,21.26
,,113-0677763-1111424,41.25
2022-01-24,,114-8401218-0085804,21.19
,,113-3367994-4860267,32.01
,,111-3894344-6512229,19.99
,,114-6378209-2368261,30.0
,,112-2254596-5417814,100.0
,,112-0675617-5899429,28.26
,,114-1658026-4557840,49.42
,,702-7397711-0014613,283.49
